intermediate,intermediate_smiles,Ea_decomp_kJ_mol,ln_A,arrhenius_r2,n_temperatures,T_range_C,t_half_m78C_s,t_half_m40C_s,t_half_0C_s,t_half_25C_s,paper,quality_tier,canon_smi,clean_name,intermediate_class,sigma_hammett,Es_taft,delta_ortho,delta_benzyne,dft_dipole_D,dft_Gsolv_kJ,dft_HOMO_eV,dft_LUMO_eV,dft_charge_Li,dft_LiC_BDE_kJ,dft_wiberg_LiC,log_t_half,quality,substituent,position,ester_alkyl,sigma_I,sigma_R,sigma_eff,chelation,Es_alkyl,hardness
tert-butyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OC(C)(C)C,28.14,9.9571,0.9374,3,-28 to 20,1117.0,66.14,7.895,2.794,AlkoxycarbonylArLi_2008_Nagaki,tier1,[Li]c1ccccc1C(=O)OC(C)(C)C,tert-butyl o-lithiobenzoate,ArLi,0.45,-1.54,1.0,0.0,3.66,-74.1,-8.614,-6.858,0.4697,522.9,0.6048,1.8204641905776842,high,COOR,ortho,tBu,0.3,0.15,0.3,0.7,-1.54,0.8780000000000006
p-nitrophenyllithium,[Li]c1ccc([N+](=O)[O-])cc1,28.95,11.443,0.9147,4,-58 to 0,416.7,22.75,2.554,0.8769,NitroArLi_2009_Nagaki,tier1,[Li]c1ccc([N+](=O)[O-])cc1,aryllithium,ArLi,0.78,0.0,0.0,0.0,12.377,-85.23,-9.584,-7.927,0.4503,434.6,0.7145,1.3569814009931311,high,NO2,para,,0.67,0.11,0.78,0.0,0.0,0.8285
isopropyl m-lithiobenzoate,[Li]c1cccc(C(=O)OC(C)C)c1,34.73,17.0611,0.9572,4,-58 to 0,53.32,1.629,0.1181,0.03278,AlkoxycarbonylFlow_2010_Nagaki,tier1,[Li]c1cccc(C(=O)OC(C)C)c1,isopropyl m-lithiobenzoate,ArLi,0.37,0.0,0.0,0.0,8.546,-93.78,-8.875,-6.479,0.4214,410.7,0.7414,0.2119210843085094,high,COOR,meta,iPr,0.3,0.15,0.3,0.0,-0.47,1.198
ethyl p-lithiobenzoate,[Li]c1ccc(C(=O)OCC)cc1,37.13,19.4327,0.9803,4,-58 to 0,21.86,0.5246,0.03175,0.00806,AlkoxycarbonylFlow_2010_Nagaki,tier1,[Li]c1ccc(C(=O)OCC)cc1,ethyl p-lithiobenzoate,ArLi,0.45,0.0,0.0,0.0,7.86,-89.24,-8.947,-6.504,0.4242,413.2,0.738,-0.2801717137456653,high,COOR,para,Et,0.3,0.15,0.44999999999999996,0.0,-0.07,1.2214999999999998
isopropyl p-lithiobenzoate,[Li]c1ccc(C(=O)OC(C)C)cc1,37.58,18.5078,0.9693,4,-58 to 0,72.85,1.671,0.09769,0.02439,AlkoxycarbonylFlow_2010_Nagaki,tier1,[Li]c1ccc(C(=O)OC(C)C)cc1,isopropyl p-lithiobenzoate,ArLi,0.45,0.0,0.0,0.0,7.785,-94.33,-8.923,-6.456,0.423,412.7,0.7391,0.22297644989339135,high,COOR,para,iPr,0.3,0.15,0.44999999999999996,0.0,-0.47,1.2334999999999998
ethyl m-lithiobenzoate,[Li]c1cccc(C(=O)OCC)c1,38.29,20.0954,0.9515,4,-58 to 0,23.11,0.4934,0.02734,0.006648,AlkoxycarbonylFlow_2010_Nagaki,tier1,[Li]c1cccc(C(=O)OCC)c1,ethyl m-lithiobenzoate,ArLi,0.37,0.0,0.0,0.0,8.648,-90.76,-8.9,-6.521,0.4229,411.3,0.7401,-0.3068008548462828,high,COOR,meta,Et,0.3,0.15,0.3,0.0,-0.07,1.1895000000000002
methyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OC,39.61,20.5735,0.9703,5,-78 to 0,32.18,0.6021,0.03021,0.007,AlkoxycarbonylArLi_2008_Nagaki,tier1,[Li]c1ccccc1C(=O)OC,methyl o-lithiobenzoate,ArLi,0.45,0.0,1.0,0.0,3.182,-64.08,-8.76,-7.023,0.4733,524.2,0.6073,-0.22033137279285203,high,COOR,ortho,Me,0.3,0.15,0.3,0.7,0.0,0.8685
methyl m-lithiobenzoate,[Li]c1cccc(C(=O)OC)c1,40.02,21.8439,0.9687,4,-78 to -28,11.65,0.2091,0.01017,0.00232,AlkoxycarbonylFlow_2010_Nagaki,tier1,[Li]c1cccc(C(=O)OC)c1,methyl m-lithiobenzoate,ArLi,0.37,0.0,0.0,0.0,8.509,-85.11,-8.924,-6.565,0.4242,412.2,0.7391,-0.6796459671823282,high,COOR,meta,Me,0.3,0.15,0.3,0.0,0.0,1.1794999999999995
isopropyl o-lithiobenzoate,[Li]c1ccccc1C(=O)OC(C)C,40.71,18.6741,0.9903,4,-58 to 0,425.6,7.124,0.3288,0.07312,AlkoxycarbonylArLi_2008_Nagaki,tier1,[Li]c1ccccc1C(=O)OC(C)C,isopropyl o-lithiobenzoate,ArLi,0.45,-0.47,1.0,0.0,3.45,-72.16,-8.673,-6.916,0.4711,524.0,0.6065,0.8527239107912059,high,COOR,ortho,iPr,0.3,0.15,0.3,0.7,-0.47,0.8784999999999998
tert-butyl m-lithiobenzoate,[Li]c1cccc(C(=O)OC(C)(C)C)c1,40.85,16.5652,0.9751,3,-28 to 20,3813.0,62.97,2.876,0.6365,AlkoxycarbonylFlow_2010_Nagaki,tier1,[Li]c1cccc(C(=O)OC(C)(C)C)c1,tert-butyl m-lithiobenzoate,ArLi,0.37,0.0,0.0,0.0,8.359,-95.12,-8.837,-6.417,0.4191,409.5,0.7432,1.799133693302063,high,COOR,meta,tBu,0.3,0.15,0.3,0.0,-1.54,1.21
